
2024/12/20 (15:52:56) | INFO: Running on /dev/pts/0
2024/12/20 (15:52:56) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/12/20 (15:52:56) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/12/20 (15:52:56) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/20 (15:52:56) | DEBUG: Shared::init() : Initialized.

2024/12/20 (15:53:05) | ===> btop++ v.1.4.0
2024/12/20 (15:53:05) | INFO: Logger set to DEBUG
2024/12/20 (15:53:05) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/12/20 (15:53:05) | INFO: Running on /dev/pts/0
2024/12/20 (15:53:05) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/12/20 (15:53:05) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/12/20 (15:53:05) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/20 (15:53:05) | DEBUG: Shared::init() : Initialized.
